date,New cases,1st day prediction,2nd day,3rd day prediction,4th day prediction,5th day prediction,6th day prediction,7th day prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/20,3791,,,,,,,,,,,,,,,,,,2388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/21,2718,,,,,,,,,,,,,,,,,,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/22,1506,,,,,,,,,,,,,,,,,,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/23,3582,,,,,,,,,,,,,,,,,,,3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/24,3571,,,,,,,,,,,,,,,,,,,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/25,2872,,,,,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/26,2445,,,,,,,,,,,,,,,,,,,2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/27,2463,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/28,1889,,,,,,,,,,,,,,,,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/29,1015,,,,,,,,,,,,,,,,,,,2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/30,2441,,,,,,,,,,,,,,,,,,,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/31,2471,,,,,,,,,,,,,,,,,,,,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/1,2186,,,,,,,,,,,,,,,,,,,,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/2,1987,,,,,,,,,,,,,,,,,,,,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/3,1829,,,,,,,,,,,,,,,,,,,,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/4,1410,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/5,773,,,,,,,,,,,,,,,,,,,,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/6,1920,,,,,,,,,,,,,,,,,,,,,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/7,2016,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/8,1668,,,,,,,,,,,,,,,,,,,,,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/9,1574,,,,,,,,,,,,,,,,,,,,,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/10,1567,,,,,,,,,,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/11,1343,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/12,812,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/13,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/14,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/15,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/16,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/17,1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/18,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/19,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/20,2234,,,,,,,,,,,,,,,,,,,,,,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/21,2401,,,,,,,,,,,,,,,,,,,,,,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/22,2310,,,,,,,,,,,,,,,,,,,,,,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/23,2076,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/24,2274,,,,,,,,,,,,,,,,,,,,,,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/25,1996,,,,,,,,,,,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/26,1223,,,,,,,,,,,,,,,,,,,,,,2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/27,3180,,,,,,,,,,,,,,,,,,,,,,,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/28,3846,,,,,,,,,,,,,,,,,,,,,,,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/29,3758,,,,,,,,,,,,,,,,,,,,,,,2709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/30,3631,,,,,,,,,,,,,,,,,,,,,,,3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/1,4141,,,,,,,,,,,,,,,,,,,,,,,2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/2,3785,,,,,,,,,,,,,,,,,,,,,,,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/3,2430,,,,,,,,,,,,,,,,,,,,,,,3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/4,6919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/5,8707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/6,8674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/7,8719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/8,10222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/9,9115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/10,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/11,16079,,,,,,,,,,,,,,,,,,,,,,,,16038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/12,19094,,,,,,,,,,,,,,,,,,,,,,,,15218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/13,18209,,,,,,,,,,,,,,,,,,,,,,,,14753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/14,17938,,,,,,,,,,,,,,,,,,,,,,,,16656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/15,21250,,,,,,,,,,,,,,,,,,,,,,,,14525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/16,18613,,,,,,,,,,,,,,,,,,,,,,,,8678,11313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/17,11992,,,,,,,,,,,,,,,,,,,,,,,,22323,30345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/18,10354,,,,,,,,,,,,,,,,,,,,,,,,,33960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/19,29545,,,,,,,,,,,,,,,,,,,,,,,,,31867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/20,34458,,,,,,,,,,,,,,,,,,,,,,,,,31400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
