date,Actual,20210205,20210209,20210216,20210225,20210303,20210309,20210316,20210323,20210330,20210406,20210413,20210420,20210427,20210504,20210511,20210518,20210525,20210601,20210608,20210615,20210622,20210629,20210706,20210713,20210720,20210727,20210803,20210810,20210817,20210824,20210831,20210914,20210928,20211012,20211102,20220118,20220125,20220208,20220215,20220222,20220301,20220308,20220315,20220322,20220405,20220413,20220419,20220426,20220511,20220522,20220621,20220707,20220713,20220720,20220725,20220802,20220809,20220816,20220829,20220917,20221003,20221110,20221207,20221220,20221226,20230109,20230123,20230210,20230227,20230318
2022/1/12,1245,0,2,,0,0,0,0,0,18,31,125,261,196,1100,370,1166,225,186,80,53,7,11,50,244,605,226,4323,7473,17379,11606,3258,3711,8584,1430,181,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/1/19,5365,,1,,0,0,0,0,0,13,24,128,256,192,1015,332,1049,182,162,64,40,5,8,40,207,522,192,4034,7153,17116,11955,3210,4669,11052,2149,268,4996,7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/1/26,11781,,1,,0,0,0,0,0,9,18,110,248,185,925,296,931,143,139,50,30,3,6,33,176,450,164,3780,6849,16509,12131,3513,2745,5709,3277,408,10055,14948,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/2/2,16494,,0,,0,0,0,0,0,6,13,95,234,176,832,260,815,111,118,38,22,2,4,27,150,387,141,3555,6554,15582,12105,3716,2291,4277,5073,641,19806,28412,18128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/2/9,17360,,,,0,0,0,0,0,4,10,82,218,165,737,226,705,85,97,29,15,2,3,22,127,333,121,3354,6262,14385,11861,3914,2144,3176,7643,980,11635,19225,20216,15714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/2/16,14063,,,,0,0,0,0,0,3,7,69,199,152,642,193,601,65,77,21,11,1,2,18,108,286,105,3172,5971,12986,11510,4099,2211,2338,11251,1474,9758,17238,17931,14613,14805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/2/23,12711,,,,,0,0,0,0,2,5,59,178,138,550,163,505,48,59,15,7,1,1,15,91,245,92,3006,5677,11465,11090,2053,2772,1705,3940,2176,7973,14970,17078,13479,16816,11142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/2,10421,,,,,,0,0,0,1,4,49,157,124,465,135,419,35,45,10,5,1,1,12,77,211,80,2853,5379,10017,10593,1433,3313,1233,2611,3140,6348,12598,15838,12081,16807,11598,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/9,9008,,,,,,,0,,1,3,40,136,109,388,111,342,25,34,7,3,0,1,10,65,181,70,2711,5076,8702,10032,1107,3967,884,1731,4412,4924,10274,14301,10519,16298,10828,12225,8709,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/16,7938,,,,,,,,,1,2,33,115,95,320,90,276,17,25,5,2,0,0,8,55,155,62,2578,4770,7509,9422,1184,4754,634,1147,6015,3642,7943,12405,8916,15037,9878,12120,11054,7589,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/23,6103,,,,,,,,,0,1,27,95,81,259,72,219,12,18,3,2,0,0,7,47,133,55,2454,4462,6444,8777,1171,2808,452,760,7924,2591,5869,10392,7340,13477,8650,12018,11541,11157,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/3/30,7525,,,,,,,,,,1,22,77,68,206,56,172,8,13,2,1,0,0,6,40,114,49,2336,4155,5505,8116,1188,2278,619,504,4979,1770,4139,8406,5865,11657,7249,11703,11822,11195,7630,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/6,7479,,,,,,,,,,,17,61,56,161,44,132,5,9,1,1,0,0,5,33,97,43,2224,3850,4687,7454,1235,2046,619,334,4194,1158,2780,6565,4546,9769,5908,11121,11592,10480,8995,8652,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/13,7594,,,,,,,,,,,,48,46,124,33,101,3,6,1,1,0,0,4,28,83,39,2090,3506,3981,6804,1312,2019,620,374,3523,725,1774,4949,3415,8050,4647,10123,10742,9322,9907,7651,8253,,,,,,,,,,,,,,,,,,,,,,,
2022/4/20,5838,,,,,,,,,,,,,37,94,25,75,2,4,1,0,0,0,3,24,71,34,1944,3149,3376,6179,1423,2375,624,314,2954,457,1138,3669,2530,6793,3594,8969,9576,7759,10772,7496,6194,6776,,,,,,,,,,,,,,,,,,,,,,
